player,ab,slg
Bobby Abreu,573,0.435
Tony Abreu,193,0.316
Pedro Alvarez,347,0.461
Garret Anderson,155,0.271
Elvis Andrus,588,0.301
Rick Ankiel,211,0.389
Joaquin Arias,128,0.32
Garrett Atkins,140,0.28600000000000003
Alex Avila,294,0.34
Mike Aviles,424,0.413
Erick Aybar,534,0.33
Willy Aybar,270,0.344
Jeff Baker,206,0.413
Rod Barajas,313,0.447
Josh Bard,112,0.35700000000000004
Clint Barmes,387,0.35100000000000003
Jason Bartlett,468,0.35
Daric Barton,556,0.405
Jose Bautista,569,0.617
Jason Bay,348,0.402
Gordon Beckham,444,0.37799999999999995
Josh Bell,159,0.302
Ronnie Belliard,162,0.327
Carlos Beltran,220,0.42700000000000005
Adrian Beltre,589,0.5529999999999999
Lance Berkman,404,0.413
Roger Bernadina,414,0.384
Yuniesky Betancourt,556,0.405
Wilson Betemit,276,0.511
Casey Blake,509,0.40700000000000003
Andres Blanco,166,0.349
Gregor Blanco,237,0.36700000000000005
Henry Blanco,130,0.3
Kyle Blanks,102,0.324
Willie Bloomquist,187,0.38
Geoff Blum,202,0.35600000000000004
Brennan Boesch,464,0.41600000000000004
Emilio Bonifacio,180,0.32799999999999996
Julio Borbon,438,0.34
Jason Bourgeois,123,0.268
Peter Bourjos,181,0.381
Michael Bourn,535,0.34600000000000003
John Bowker,151,0.371
Milton Bradley,244,0.348
Michael Brantley,297,0.327
Russell Branyan,376,0.48700000000000004
Ryan Braun,619,0.501
Reid Brignac,301,0.385
Jay Bruce,509,0.493
John Buck,409,0.489
Pat Burrell,373,0.469
Drew Butera,142,0.29600000000000004
Billy Butler,595,0.469
Marlon Byrd,580,0.429
Asdrubal Cabrera,381,0.34600000000000003
Everth Cabrera,212,0.278
Melky Cabrera,458,0.354
Miguel Cabrera,548,0.622
Orlando Cabrera,494,0.354
Lorenzo Cain,147,0.415
Miguel Cairo,200,0.41
Alberto Callaspo,562,0.374
Mike Cameron,162,0.401
Robinson Cano,626,0.534
Jorge Cantu,472,0.392
Jamey Carroll,351,0.33899999999999997
Chris Carter,167,0.389
Kevin Cash,114,0.237
Alexi Casilla,152,0.395
Luis Castillo,247,0.267
Jason Castro,195,0.287
Juan Castro,129,0.233
Ramon Castro,115,0.504
Starlin Castro,463,0.408
Ronny Cedeno,468,0.382
Francisco Cervelli,266,0.335
Eric Chavez,111,0.33299999999999996
Shin-Soo Choo,550,0.484
Ryan Church,219,0.35200000000000004
Jeff Clement,144,0.368
Chris Coghlan,358,0.38299999999999995
Tyler Colvin,358,0.5
Brooks Conrad,156,0.48700000000000004
Alex Cora,176,0.278
Craig Counsell,204,0.319
Allen Craig,114,0.41200000000000003
Carl Crawford,600,0.495
Coco Crisp,290,0.43799999999999994
Bobby Crosby,168,0.298
Trevor Crowe,442,0.33299999999999996
Nelson Cruz,399,0.5760000000000001
Michael Cuddyer,609,0.41700000000000004
Aaron Cunningham,132,0.41700000000000004
Jack Cust,349,0.43799999999999994
Johnny Damon,539,0.401
Brad Davis,109,0.376
Chris Davis,120,0.292
Ike Davis,523,0.44
Rajai Davis,525,0.377
David DeJesus,352,0.44299999999999995
Chris Denorfia,284,0.433
Ian Desmond,525,0.392
Blake DeWitt,440,0.373
Matt Diaz,224,0.43799999999999994
Greg Dobbs,163,0.331
Jason Donald,296,0.37799999999999995
Ryan Doumit,406,0.406
J.D. Drew,478,0.452
Stephen Drew,565,0.45799999999999996
Shelley Duncan,229,0.419
Adam Dunn,558,0.536
David Eckstein,442,0.326
Jim Edmonds,246,0.504
A.J. Ellis,108,0.324
Mark Ellis,436,0.381
Edwin Encarnacion,332,0.48200000000000004
Alcides Escobar,506,0.326
Yunel Escobar,497,0.318
Danny Espinosa,103,0.447
Andre Ethier,517,0.493
Jesus Feliciano,108,0.287
Pedro Feliz,409,0.293
Prince Fielder,578,0.47100000000000003
Chone Figgins,602,0.306
Mike Fontenot,240,0.375
Dexter Fowler,439,0.41
Jake Fox,198,0.384
Ben Francisco,179,0.441
Jeff Francoeur,454,0.38299999999999995
Kevin Frandsen,160,0.319
David Freese,240,0.40399999999999997
Kosuke Fukudome,358,0.439
Rafael Furcal,383,0.46
Brett Gardner,477,0.379
Chris Getz,224,0.27699999999999997
Jason Giambi,176,0.39799999999999996
Cole Gillespie,104,0.365
Troy Glaus,412,0.4
Ross Gload,128,0.484
Jonny Gomes,511,0.431
Carlos Gomez,291,0.35700000000000004
Adrian Gonzalez,591,0.511
Alberto Gonzalez,186,0.301
Alex Gonzalez,595,0.447
Carlos Gonzalez,587,0.598
Alex Gordon,242,0.355
Curtis Granderson,466,0.46799999999999997
Tyler Greene,104,0.327
Gabe Gross,222,0.311
Mark Grudzielanek,110,0.273
Vladimir Guerrero,593,0.496
Carlos Guillen,253,0.419
Jose Guillen,524,0.41600000000000004
Franklin Gutierrez,568,0.363
Cristian Guzman,365,0.337
Tony Gwynn,289,0.287
Travis Hafner,396,0.449
Jerry Hairston,430,0.353
Scott Hairston,295,0.34600000000000003
Bill Hall,344,0.456
Josh Hamilton,518,0.633
Ryan Hanigan,203,0.429
J.J. Hardy,340,0.39399999999999996
Brendan Harris,108,0.213
Willie Harris,224,0.36200000000000004
Corey Hart,558,0.525
Brad Hawpe,298,0.419
Chase Headley,610,0.375
Chris Heisey,201,0.433
Wes Helms,254,0.34600000000000003
Todd Helton,398,0.36700000000000005
Jeremy Hermida,222,0.35100000000000003
Anderson Hernandez,109,0.266
Ramon Hernandez,313,0.428
Jonathan Herrera,222,0.342
Jason Heyward,520,0.456
Aaron Hill,528,0.39399999999999996
Koyie Hill,215,0.298
Eric Hinske,281,0.456
Matt Holliday,596,0.532
Ryan Howard,550,0.505
Orlando Hudson,497,0.37200000000000005
Aubrey Huff,569,0.506
Nick Hundley,273,0.418
Torii Hunter,573,0.46399999999999997
Chris Iannetta,188,0.38299999999999995
Raul Ibanez,561,0.444
Omar Infante,471,0.41600000000000004
Brandon Inge,514,0.397
Joe Inglett,142,0.401
Travis Ishikawa,158,0.392
Akinori Iwamura,196,0.25
Cesar Izturis,473,0.268
Maicer Izturis,212,0.363
Austin Jackson,618,0.4
Conor Jackson,208,0.327
Paul Janish,200,0.385
John Jaso,339,0.37799999999999995
Jon Jay,287,0.42200000000000004
Derek Jeter,663,0.37
Chris Johnson,341,0.48100000000000004
Dan Johnson,111,0.414
Kelly Johnson,585,0.496
Reed Johnson,202,0.366
Rob Johnson,178,0.281
Adam Jones,581,0.442
Andruw Jones,278,0.486
Chipper Jones,317,0.426
Garrett Jones,592,0.414
Matthew Joyce,216,0.47700000000000004
Kila Ka'aihue,180,0.39399999999999996
Ryan Kalish,163,0.405
Gabe Kapler,124,0.29
Austin Kearns,403,0.395
Don Kelly,238,0.374
Matt Kemp,602,0.45
Jason Kendall,434,0.297
Howie Kendrick,616,0.40700000000000003
Adam Kennedy,342,0.327
Jeff Keppinger,514,0.39299999999999996
Ian Kinsler,391,0.41200000000000003
Paul Konerko,548,0.584
Casey Kotchman,414,0.336
Mark Kotsay,327,0.376
George Kottaras,212,0.396
Kevin Kouzmanoff,551,0.396
Jason Kubel,518,0.42700000000000005
Gerald Laird,270,0.304
Ryan Langerhans,107,0.318
Matt LaPorta,376,0.36200000000000004
Adam LaRoche,560,0.46799999999999997
Andy LaRoche,247,0.287
Carlos Lee,605,0.41700000000000004
Derrek Lee,547,0.428
Fred Lewis,428,0.414
Adam Lind,569,0.425
James Loney,588,0.395
Evan Longoria,574,0.507
Felipe Lopez,391,0.345
Jose Lopez,593,0.33899999999999997
Mike Lowell,218,0.36700000000000005
Jed Lowrie,171,0.526
Jonathan Lucroy,277,0.32899999999999996
Ryan Ludwick,490,0.418
Julio Lugo,241,0.282
Mitch Maier,373,0.375
Tommy Manzella,258,0.264
Nick Markakis,629,0.436
Lou Marson,262,0.28600000000000003
Andy Marte,170,0.382
Russell Martin,331,0.332
Victor Martinez,493,0.493
Jeff Mathis,205,0.278
Hideki Matsui,482,0.45899999999999996
Joe Mauer,510,0.469
Justin Maxwell,104,0.28800000000000003
Cameron Maybin,291,0.361
Brian McCann,479,0.45299999999999996
Andrew McCutchen,570,0.449
Darnell McDonald,319,0.429
John McDonald,152,0.45399999999999996
Casey McGehee,610,0.46399999999999997
Nate McLouth,242,0.322
Jason Michaels,186,0.46799999999999997
Aaron Miles,139,0.317
Lastings Milledge,379,0.38
Bengie Molina,377,0.326
Jose Molina,167,0.377
Yadier Molina,465,0.342
Miguel Montero,297,0.43799999999999994
Adam Moore,205,0.28300000000000003
Melvin Mora,316,0.42100000000000004
Kendrys Morales,193,0.48700000000000004
Mitch Moreland,145,0.469
Nyjer Morgan,509,0.314
Justin Morneau,296,0.618
Logan Morrison,244,0.447
Mike Morse,266,0.519
David Murphy,419,0.449
Xavier Nady,317,0.353
Mike Napoli,453,0.46799999999999997
Daniel Nava,161,0.36
Dioner Navarro,124,0.258
Wil Nieves,158,0.31
Jayson Nix,331,0.396
Laynce Nix,165,0.455
Miguel Olivo,394,0.449
Magglio Ordonez,323,0.474
David Ortiz,518,0.529
Lyle Overbay,534,0.433
Angel Pagan,579,0.425
Gerardo Parra,364,0.371
Corey Patterson,308,0.406
Eric Patterson,187,0.406
Xavier Paul,121,0.314
Ronny Paulino,316,0.354
Dustin Pedroia,302,0.493
Brayan Pena,158,0.335
Carlos Pena,484,0.40700000000000003
Ramiro Pena,154,0.247
Hunter Pence,614,0.461
Cliff Pennington,508,0.368
Jhonny Peralta,551,0.392
Brandon Phillips,626,0.43
Felix Pie,288,0.413
Juan Pierre,651,0.316
A.J. Pierzynski,474,0.38799999999999996
Scott Podsednik,539,0.382
Placido Polanco,554,0.386
Jorge Posada,383,0.45399999999999996
Buster Posey,406,0.505
Landon Powell,112,0.304
Martin Prado,599,0.45899999999999996
Albert Pujols,587,0.596
Nick Punto,252,0.302
Carlos Quentin,453,0.479
Humberto Quintero,265,0.317
Ryan Raburn,371,0.474
Alexei Ramirez,585,0.431
Aramis Ramirez,465,0.452
Hanley Ramirez,543,0.475
Manny Ramirez,265,0.46
Colby Rasmus,464,0.498
Nolan Reimold,116,0.32799999999999996
Edgar Renteria,243,0.374
Jason Repko,127,0.34600000000000003
Jose Reyes,563,0.428
Mark Reynolds,499,0.433
Will Rhymes,191,0.414
Alex Rios,567,0.457
Juan Rivera,416,0.409
Brian Roberts,230,0.391
Alex Rodriguez,522,0.506
Ivan Rodriguez,398,0.34700000000000003
Sean Rodriguez,343,0.397
Scott Rolen,471,0.49700000000000005
Jimmy Rollins,350,0.374
Adam Rosales,255,0.4
Cody Ross,525,0.413
David Ross,121,0.479
Aaron Rowand,331,0.37799999999999995
Carlos Ruiz,371,0.447
Rusty Ryal,207,0.348
Brendan Ryan,439,0.294
Oscar Salazar,131,0.336
Angel Sanchez,253,0.344
Freddy Sanchez,431,0.397
Gaby Sanchez,572,0.44799999999999995
Pablo Sandoval,563,0.409
Carlos Santana,150,0.467
Ramon Santiago,320,0.325
Michael Saunders,289,0.36700000000000005
Nate Schierholtz,227,0.366
Brian Schneider,125,0.384
Skip Schumaker,476,0.33799999999999997
Luke Scott,447,0.535
Marco Scutaro,632,0.38799999999999996
Kelly Shoppach,158,0.342
Grady Sizemore,128,0.289
Scott Sizemore,143,0.336
Seth Smith,358,0.469
Justin Smoak,348,0.371
Travis Snider,298,0.46299999999999997
Chris Snyder,319,0.376
Alfonso Soriano,496,0.496
Geovany Soto,322,0.49700000000000005
Denard Span,629,0.348
Ryan Spilborghs,341,0.43700000000000006
Giancarlo Stanton,359,0.507
Nick Stavinoha,121,0.33899999999999997
Ian Stewart,386,0.44299999999999995
Drew Stubbs,514,0.444
Ichiro Suzuki,680,0.39399999999999996
Kurt Suzuki,495,0.366
Mike Sweeney,151,0.444
Ryan Sweeney,303,0.38299999999999995
Nick Swisher,566,0.511
Jose Tabata,405,0.4
Craig Tatum,114,0.316
Mark Teahen,233,0.382
Mark Teixeira,601,0.48100000000000004
Miguel Tejada,636,0.381
Ruben Tejada,216,0.282
Marcus Thames,212,0.491
Ryan Theriot,586,0.312
Josh Thole,202,0.366
Jim Thome,276,0.627
Yorvit Torrealba,325,0.37799999999999995
Andres Torres,507,0.479
Chad Tracy,146,0.322
Matt Treanor,237,0.308
Matt Tuiasosopo,127,0.307
Troy Tulowitzki,470,0.568
Dan Uggla,589,0.508
Justin Upton,495,0.442
Melvin Upton,536,0.424
Juan Uribe,521,0.44
Chase Utley,425,0.445
Luis Valbuena,275,0.258
Wilson Valdez,333,0.36
Danny Valencia,299,0.44799999999999995
Jason Varitek,112,0.473
Will Venable,392,0.408
Dayan Viciedo,104,0.519
Shane Victorino,587,0.429
Omar Vizquel,344,0.331
Joey Votto,547,0.6
Neil Walker,426,0.462
Brett Wallace,144,0.319
Rickie Weeks,651,0.46399999999999997
Vernon Wells,590,0.515
Jayson Werth,554,0.532
Eli Whiteside,126,0.397
Matt Wieters,446,0.377
Ty Wigginton,581,0.415
Josh Willingham,370,0.45899999999999996
Reggie Willits,159,0.302
Jack Wilson,193,0.316
Josh Wilson,361,0.294
Randy Winn,205,0.35600000000000004
Dewayne Wise,112,0.39299999999999996
Brandon Wood,226,0.20800000000000002
Danny Worth,106,0.358
David Wright,587,0.503
Kevin Youkilis,362,0.564
Delmon Young,570,0.493
Delwyn Young,191,0.414
Eric Young,172,0.285
Michael Young,656,0.444
Gregg Zaun,102,0.392
Ryan Zimmerman,525,0.51
Ben Zobrist,541,0.353
